"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8245","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-07-30","passed","2026-07-30","","LoginDataDriven.spec.ts","",""
"","5894","User login test @master @sanity @regression","chromium","2026-07-30","passed","2026-07-30","","Login.spec.ts","",""
"","14629","execute end-to-end test flow @end-to-end","chromium","2026-07-30","passed","2026-07-30","","EndToEndTest.spec.ts","",""
"","8932","User registration test @master @sanity @regression","chromium","2026-07-30","passed","2026-07-30","","accountRegistration.spec.ts","",""
"","3635","Login Test with JSON Data: Valid login @datadriven","chromium","2026-07-30","passed","2026-07-30","","LoginDataDriven.spec.ts","",""
"","3162","Login Test with CSV Data: Valid login @datadriven","chromium","2026-07-30","passed","2026-07-30","","LoginDataDriven.spec.ts","",""
"","3857","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-07-30","failed","2026-07-30","","LoginDataDriven.spec.ts","",""
"","6334","User logout test @master @regression","chromium","2026-07-30","passed","2026-07-30","","Logout.spec.ts","",""
"","5503","Product search test @master @regression","chromium","2026-07-30","passed","2026-07-30","","SearchProduct.spec.ts","",""
"","5945","Add product to cart test @master @regression","chromium","2026-07-30","passed","2026-07-30","","AddToCart.spec.ts","",""
